Date,Open,High,Low,Close,Volume,Adj Close
2013-01-04,17.56,17.80,17.54,17.77,3111000,17.77
2013-01-03,17.75,17.89,17.48,17.55,4193200,17.55
2013-01-02,17.88,17.95,17.69,17.85,5315300,17.85
2012-12-31,16.99,17.53,16.99,17.47,4900300,17.47
2012-12-28,17.05,17.10,16.81,16.84,2397300,16.84
2012-12-27,17.43,17.44,16.97,17.22,5031700,17.22
2012-12-26,16.97,17.15,16.91,16.94,2112500,16.94
2012-12-24,16.87,16.99,16.77,16.94,1301900,16.94
2012-12-21,16.92,17.02,16.83,17.00,7876100,17.00
2012-12-20,17.45,17.57,17.36,17.52,3591100,17.52
2012-12-19,17.55,17.57,17.23,17.25,5076400,17.25
2012-12-18,17.28,17.55,17.26,17.47,7598500,17.47
2012-12-17,16.92,17.14,16.92,17.04,5391000,17.04
2012-12-14,16.61,17.02,16.59,16.94,8366200,16.94
2012-12-13,16.43,16.65,16.35,16.47,4626600,16.47
2012-12-12,16.43,16.82,16.41,16.52,6017900,16.52
2012-12-11,16.12,16.55,16.12,16.51,8317300,16.51
2012-12-10,15.79,16.10,15.70,16.09,5902900,16.09
2012-12-07,15.78,15.84,15.64,15.68,4924100,15.68
2012-12-06,15.99,16.07,15.82,15.98,3517600,15.98
2012-12-05,15.93,16.08,15.83,15.99,6592000,15.99
2012-12-04,15.47,15.72,15.42,15.62,5260800,15.62
2012-12-03,15.46,15.57,15.26,15.29,5508000,15.29
2012-11-30,15.16,15.33,15.12,15.20,3526300,15.20
2012-11-29,15.21,15.33,15.09,15.33,4222800,15.33
2012-11-28,14.57,14.94,14.47,14.92,4534700,14.92
2012-11-27,14.88,14.98,14.70,14.71,3781400,14.71
2012-11-26,14.89,15.08,14.82,15.06,3754900,15.06
2012-11-23,15.04,15.20,15.03,15.09,2283600,15.09
2012-11-21,14.73,14.89,14.67,14.82,2313800,14.82
2012-11-20,14.69,14.80,14.51,14.61,3797800,14.61
2012-11-19,14.82,15.03,14.79,14.84,4439800,14.84
2012-11-16,14.69,14.89,14.51,14.82,5834700,14.63
2012-11-15,14.96,15.06,14.70,14.76,5661900,14.57
2012-11-14,15.42,15.45,14.82,14.85,5484400,14.66
2012-11-13,15.07,15.46,15.03,15.16,5131800,14.97
2012-11-12,15.45,15.51,15.32,15.38,3899400,15.18
2012-11-09,14.97,15.50,14.96,15.21,4813500,15.02
2012-11-08,15.38,15.54,15.00,15.00,3808400,14.81
2012-11-07,15.63,15.65,15.30,15.37,5402500,15.18
2012-11-06,15.23,15.85,15.21,15.81,7863400,15.61
2012-11-05,15.14,15.25,14.90,15.05,4616500,14.86
2012-11-02,15.53,15.56,15.05,15.06,5667500,14.87
2012-11-01,14.95,15.32,14.85,15.22,5764800,15.03
2012-10-31,15.27,15.40,14.75,14.77,8665900,14.58
2012-10-26,15.54,15.67,15.34,15.44,4562700,15.24
2012-10-25,15.68,15.71,15.33,15.54,7349600,15.34
