Date,Open,High,Low,Close,Volume,Adj Close
2013-01-04,18.36,18.40,18.06,18.24,2001400,18.24
2013-01-03,18.58,18.61,18.35,18.43,1798700,18.43
2013-01-02,18.25,18.69,18.23,18.64,3591400,18.64
2013-01-01,17.76,17.76,17.76,17.76,000,17.76
2012-12-31,17.76,17.76,17.76,17.76,000,17.76
2012-12-28,17.88,18.00,17.69,17.76,1387100,17.76
2012-12-27,18.00,18.23,17.88,17.94,1485200,17.94
2012-12-26,18.00,18.00,18.00,18.00,000,18.00
2012-12-25,18.00,18.00,18.00,18.00,000,18.00
2012-12-24,18.00,18.00,18.00,18.00,000,18.00
2012-12-21,18.05,18.15,17.92,18.00,5050900,18.00
2012-12-20,18.40,18.53,18.24,18.24,4192100,18.24
2012-12-19,18.35,18.67,18.33,18.57,5186400,18.57
2012-12-18,18.03,18.22,18.01,18.14,3837500,18.14
2012-12-17,17.72,17.95,17.69,17.92,3078500,17.92
2012-12-14,17.67,17.82,17.60,17.72,2509900,17.72
2012-12-13,17.88,17.97,17.32,17.64,5658200,17.64
2012-12-12,17.31,17.89,17.28,17.83,7838900,17.83
2012-12-11,15.86,17.56,15.70,17.17,14880000,17.17
2012-12-10,16.10,16.34,16.05,16.26,2515300,16.26
2012-12-07,16.45,16.46,16.04,16.23,3590400,16.23
2012-12-06,16.11,16.55,16.06,16.43,5682600,16.43
2012-12-05,15.68,16.08,15.64,16.06,5282300,16.06
2012-12-04,15.60,15.68,15.51,15.59,2736300,15.59
2012-12-03,15.53,15.90,15.46,15.63,3712600,15.63
2012-11-30,15.81,15.93,15.52,15.57,3521000,15.57
2012-11-29,15.73,15.91,15.72,15.84,4063500,15.84
2012-11-28,15.84,15.98,15.44,15.62,4554400,15.62
2012-11-27,16.00,16.16,15.91,16.02,2826400,16.02
2012-11-26,16.43,16.43,15.81,15.93,6431100,15.93
2012-11-23,16.46,16.90,16.33,16.79,2363900,16.79
2012-11-22,16.38,16.70,16.33,16.46,2833100,16.46
2012-11-21,16.49,16.52,16.17,16.39,2464600,16.39
2012-11-20,16.34,16.66,16.27,16.58,2283700,16.58
2012-11-19,16.06,16.49,16.03,16.41,3408100,16.41
2012-11-16,16.49,16.61,15.96,15.96,4822600,15.96
2012-11-15,16.75,16.94,16.44,16.51,4453200,16.51
2012-11-14,17.15,17.33,16.77,16.89,2427500,16.89
2012-11-13,17.18,17.26,16.85,17.18,2842600,17.18
2012-11-12,17.41,17.51,17.19,17.24,2474800,17.24
2012-11-09,17.65,17.65,17.12,17.41,3052400,17.41
2012-11-08,17.85,17.89,17.49,17.56,3233700,17.56
2012-11-07,18.47,18.52,17.74,17.81,3586800,17.81
2012-11-06,17.89,18.42,17.85,18.26,3071100,18.26
2012-11-05,17.81,18.03,17.76,17.88,1685800,17.88
2012-11-02,17.72,18.09,17.67,17.89,2965300,17.89
2012-11-01,17.50,17.90,17.42,17.74,2304000,17.74
2012-10-31,17.45,17.97,17.40,17.56,3557400,17.56
2012-10-30,17.20,17.52,17.18,17.50,3084600,17.50
2012-10-29,17.50,17.50,17.07,17.19,4097100,17.19
2012-10-26,17.55,18.08,17.48,17.85,1982100,17.85
2012-10-25,17.90,18.09,17.65,17.67,2507300,17.67
2012-10-24,18.01,18.10,17.45,17.86,3558000,17.86
2012-10-23,18.51,18.55,17.90,17.92,3820300,17.92
2012-10-22,18.48,18.79,18.28,18.55,2319200,18.55
2012-10-19,18.78,18.85,18.47,18.51,3889100,18.51
2012-10-18,18.80,18.96,18.75,18.87,4227300,18.87
2012-10-17,18.24,18.78,18.15,18.68,4740400,18.68
2012-10-16,17.85,18.30,17.71,18.23,3556500,18.23
2012-10-15,17.83,17.92,17.65,17.70,4060100,17.70
2012-10-12,17.51,17.92,17.45,17.75,2836200,17.75
2012-10-11,17.01,17.61,17.00,17.52,4382700,17.52
2012-10-10,17.00,17.29,17.00,17.03,1884600,17.03
2012-10-09,17.40,17.45,17.12,17.14,2971800,17.14
2012-10-08,17.58,17.61,17.22,17.30,4978400,17.30
2012-10-05,17.50,17.82,17.36,17.73,3011000,17.73
2012-10-04,17.18,17.62,17.07,17.38,5958500,17.38
2012-10-03,16.86,17.12,16.74,16.99,1855600,16.99
2012-10-02,16.59,17.17,16.49,16.91,3193600,16.91
2012-10-01,16.62,16.81,16.52,16.73,2737500,16.73
2012-09-28,16.55,17.06,16.52,16.54,4918300,16.54
2012-09-27,16.58,16.64,16.26,16.41,3083300,16.41
2012-09-26,16.60,16.68,16.19,16.41,3582000,16.41
2012-09-25,16.80,16.97,16.61,16.84,2905400,16.84
2012-09-24,17.01,17.03,16.47,16.78,3647500,16.78
2012-09-21,17.25,17.35,17.07,17.12,4611100,17.12
2012-09-20,17.25,17.27,17.02,17.17,3853500,17.17
2012-09-19,17.40,17.49,17.15,17.45,2871200,17.45
2012-09-18,17.49,17.52,16.99,17.26,5283500,17.26
2012-09-17,17.85,18.03,17.50,17.65,6411800,17.65
2012-09-14,17.85,18.57,17.82,18.49,8527400,18.49
2012-09-13,17.35,17.46,17.14,17.37,2580200,17.37
2012-09-12,17.10,17.61,17.02,17.40,4969100,17.40
2012-09-11,16.78,17.12,16.49,17.08,3033100,17.08
2012-09-10,16.59,16.95,16.58,16.83,2710600,16.83
2012-09-07,16.22,16.81,16.18,16.68,5272100,16.68
2012-09-06,15.45,16.17,15.44,16.11,4822000,16.11
2012-09-05,15.49,15.65,15.19,15.40,3214500,15.40
2012-09-04,15.95,16.01,15.45,15.53,2565800,15.53
2012-09-03,15.84,16.09,15.76,15.95,1510900,15.95
2012-08-31,15.72,16.10,15.71,15.84,3091000,15.84
2012-08-30,16.02,16.14,15.60,15.74,3855000,15.74
2012-08-29,16.45,16.49,16.10,16.17,2587600,16.17
2012-08-28,16.38,16.65,16.32,16.46,3543800,16.46
2012-08-27,16.32,16.63,16.27,16.49,2166200,16.49
2012-08-24,16.38,16.44,16.08,16.22,3491200,16.22
2012-08-23,16.71,16.80,16.39,16.47,3446300,16.47
2012-08-22,16.54,16.78,16.33,16.50,3170000,16.50
2012-08-21,16.27,16.74,16.26,16.61,3509600,16.61
2012-08-20,16.45,16.47,16.07,16.23,2050200,16.23
2012-08-17,16.14,16.41,16.09,16.41,3969400,16.41
2012-08-16,15.82,16.17,15.77,16.07,3812900,16.07
2012-08-15,16.07,16.14,15.71,15.77,4426200,15.77
2012-08-14,16.30,16.33,15.89,16.14,4116800,16.14
2012-08-13,16.32,16.47,16.11,16.24,4668200,16.24
2012-08-10,15.99,16.80,15.94,16.45,13119800,16.45
2012-08-09,15.67,15.76,15.44,15.65,3432200,15.65
2012-08-08,15.80,15.84,15.42,15.64,4907200,15.64
2012-08-07,15.42,15.93,15.37,15.84,5086400,15.84
2012-08-06,14.99,15.53,14.91,15.43,4022800,15.43
2012-08-03,14.51,15.09,14.50,15.00,4033500,15.00
2012-08-02,15.01,15.19,14.38,14.47,6014700,14.47
2012-08-01,14.94,15.20,14.89,15.05,2749800,15.05
2012-07-31,15.00,15.12,14.81,14.97,3001600,14.97
2012-07-30,14.89,15.14,14.77,15.03,3111500,15.03
2012-07-27,14.24,14.84,14.10,14.79,5987100,14.79
2012-07-26,13.90,14.19,13.51,14.16,4139200,14.16
2012-07-25,13.86,14.10,13.77,13.84,3036400,13.84
2012-07-24,14.12,14.12,13.81,13.91,4057500,13.91
2012-07-23,14.44,14.53,13.96,14.15,5309100,14.15
2012-07-20,15.13,15.13,14.68,14.69,8007300,14.69
2012-07-19,15.10,15.22,14.90,15.11,7642300,15.11
2012-07-18,14.80,15.05,14.66,15.04,6956800,15.04
2012-07-17,14.63,14.79,14.55,14.69,3717100,14.69
2012-07-16,14.53,14.70,14.38,14.56,3139900,14.56
2012-07-13,14.30,14.57,14.15,14.51,3533300,14.51
2012-07-12,14.19,14.43,14.01,14.19,3934500,14.19
2012-07-11,13.89,14.37,13.82,14.30,5310000,14.30
2012-07-10,13.55,14.23,13.47,13.94,7452500,13.94
2012-07-09,13.13,13.54,13.02,13.41,5273200,13.41
2012-07-06,13.20,13.36,13.05,13.12,4944400,13.12
2012-07-05,13.69,13.98,13.30,13.43,5698400,13.43
2012-07-04,13.75,13.77,13.55,13.69,3122200,13.69
2012-07-03,13.28,13.78,13.26,13.76,6123800,13.76
2012-07-02,12.73,13.25,12.66,13.19,5082200,13.19
2012-06-29,12.52,12.85,12.36,12.84,5593500,12.84
2012-06-28,12.17,12.28,11.75,12.22,5348100,12.22
2012-06-27,11.99,12.14,11.69,12.12,5073200,12.12
2012-06-26,12.25,12.25,11.97,12.02,3222200,12.02
2012-06-25,12.58,12.58,12.06,12.20,5681200,12.20
2012-06-22,12.83,12.84,12.64,12.69,4054400,12.69
2012-06-21,12.84,13.22,12.53,12.94,6774000,12.94
2012-06-20,12.46,12.84,12.40,12.84,5127100,12.84
2012-06-19,12.27,12.45,12.10,12.40,4638700,12.40
2012-06-18,12.37,12.45,12.06,12.20,4432500,12.20
2012-06-15,11.63,12.07,11.63,11.98,7734600,11.98
2012-06-14,11.72,11.80,11.44,11.58,3736000,11.58
2012-06-13,11.70,11.84,11.54,11.73,5205600,11.73
2012-06-12,11.55,11.74,11.47,11.64,4552600,11.64
2012-06-11,12.35,12.40,11.65,11.69,5782200,11.69
2012-06-08,12.38,12.38,11.92,12.03,7734700,12.03
2012-06-07,13.05,13.09,12.47,12.52,6843400,12.52
2012-06-06,12.82,13.14,12.77,13.00,5283100,13.00
2012-06-05,12.75,12.77,12.47,12.63,2853100,12.63
2012-06-04,12.70,12.86,12.65,12.67,3399100,12.67
2012-06-01,13.37,13.38,12.64,12.82,7708300,12.82
2012-05-31,14.02,14.05,13.18,13.35,5531700,13.35
2012-05-30,14.26,14.27,13.82,13.88,6637700,13.88
2012-05-29,14.32,14.56,14.18,14.36,2856400,14.36
2012-05-28,14.30,14.49,14.15,14.15,1909100,14.15
2012-05-25,14.59,14.72,14.02,14.13,5059600,14.13
2012-05-24,14.83,14.84,14.38,14.53,3378000,14.53
2012-05-23,15.16,15.16,14.56,14.64,4938400,14.64
2012-05-22,15.40,15.48,15.05,15.41,5133000,15.41
2012-05-21,15.17,15.40,14.98,15.27,3204000,15.27
2012-05-18,14.74,15.26,14.71,14.89,5517800,14.89
